Aresta_n v_origem Loc_v_origem_x Loc_v_origem_y v_destino Loc_v_destino_x Loc_v_destino_y Distância_km Velocidade_km_h
1 2 14.83 13.52 1 12.38 15.88 26.0 80
2 1 12.38 15.88 3 12.28 12.06 3.0 60
3 3 12.28 12.06 2 14.83 13.52 7.0 40
4 3 12.28 12.06 4 11.11 8.26 2.0 80
5 3 12.28 12.06 5 13.34 8.26 2.0 60
6 4 11.11 8.26 6 12.28 4.82 1.0 40
7 5 13.34 8.26 6 12.28 4.82 1.0 40
8 6 12.28 4.82 7 8.13 5.4 2.0 40
9 7 8.13 5.4 8 7.02 8.57 4.0 80
10 8 7.02 8.57 9 6.38 12.06 15.0 50
11 9 6.38 12.06 3 12.28 12.06 30.0 60
12 5 13.34 8.26 10 15.46 8.26 25.0 30
13 10 15.46 8.26 5 13.34 8.26 25.0 30
14 14 17.72 9.58 10 15.46 8.26 15.0 40
15 10 15.46 8.26 11 17.14 5.6 10.0 40
16 11 17.14 5.6 14 17.14 11.91 20.0 60
17 11 17.14 5.6 12 18.89 8.42 3.0 40
18 12 18.89 8.42 14 17.14 11.91 4.0 40
19 14 17.14 11.91 13 19.68 11.01 2.0 60
20 13 19.68 11.01 12 18.89 8.42 4.0 80
