Aresta_n v_origem Loc_v_origem_x Loc_v_origem_y v_destino Loc_v_destino_x Loc_v_destino_y Distância_km Velocidade_km_h
1 2 15.96 13.33 1 12.28 16.83 26.0 80
2 1 12.28 16.63 3 12.28 12.06 3.0 60
3 3 12.28 12.06 2 15.96 13.33 7.0 40
4 3 12.28 12.06 4 11.11 7.62 2.0 80
5 3 12.28 12.06 5 13.34 7.62 2.0 60
6 4 12.28 16.63 6 12.28 4.18 1.0 40
7 5 13.34 7.62 6 12.28 4.18 1.0 40
8 6 12.28 4.18 7 7.55 4.76 2.0 40
9 7 7.55 4.76 8 6.44 7.93 4.0 80
10 8 6.44 7.93 9 5.17 12.06 15.0 50
11 9 5.17 12.06 3 12.28 12.06 30.0 60
12 5 13.34 7.62 10 17.87 7.61 25.0 30
13 10 17.87 7.61 5 13.34 7.62 25.0 30
14 14 20.72 11.58 10 17.87 7.61 15.0 40
15 10 17.87 7.61 11 20.41 5.07 10.0 40
16 11 20.41 5.07 14 20.72 11.58 20.0 60
17 11 20.41 5.07 12 22.95 7.93 3.0 40
18 12 22.95 7.93 14 20.72 11.58 4.0 40
19 14 20.72 11.58 13 24.53 10.65 2.0 60
20 13 24.53 10.65 12 22.95 7.93 4.0 80
