Aresta_n v_origem Loc_v_origem_x Loc_v_origem_y v_destino Loc_v_destino_x Loc_v_destino_y Distância_km Velocidade_km_h
1 2 12.77 8.37 1 11.8 9.77 26.0 80
2 1 11.8 9.77 3 11.8 7.81 3.0 60
3 3 11.8 7.81 2 12.77 8.37 7.0 40
4 3 11.8 7.81 4 11.34 6.35 2.0 80
5 3 11.8 7.81 5 12.2 6.35 2.0 60
6 4 11.34 6.35 6 11.8 5.03 1.0 40
7 5 12.2 6.35 6 11.8 5.03 1.0 40
8 6 11.8 5.03 7 8.13 5.4 2.0 40
9 7 10.32 5.25 8 9.9 6.47 4.0 80
10 8 9.9 6.47 9 9.65 7.81 15.0 50
11 9 9.65 7.81 3 11.8 7.81 30.0 60
12 5 12.2 6.35 10 13.02 6.35 25.0 30
13 10 13.02 6.35 5 12.2 6.35 25.0 30
14 14 13.67 7.75 10 13.02 6.35 15.0 40
15 10 13.02 6.35 11 13.67 5.33 10.0 40
16 11 13.67 5.33 14 13.67 7.75 20.0 60
17 11 13.67 5.33 12 14.34 6.41 3.0 40
18 12 14.34 6.41 14 13.67 7.75 4.0 40
19 14 13.67 7.75 13 14.64 7.41 2.0 60
20 13 14.64 7.41 12 14.34 6.41 4.0 80
21 14 13.67 7.75 2 12.77 8.37 26.0 80
22 1 11.8 9.77 9 9.65 7.81 3.0 60
23 4 11.34 6.35 7 10.32 5.25 1.0 40
24 8 9.9 6.47 4 11.34 6.35 15.0 50
