Aresta_n v_origem Loc_v_origem_x Loc_v_origem_y v_destino Loc_v_destino_x Loc_v_destino_y Distância_km Velocidade_km_h
1 2 12.96 10.33 1 9.28 13.83 26.0 80
2 1 9.28 13.63 3 6.28 7.06 3.0 60
3 3 6.28 7.06 2 12.96 10.33 7.0 40
4 3 6.28 7.06 4 8.11 4.62 2.0 80
5 3 6.28 7.06 5 10.34 4.62 2.0 60
6 4 8.11 4.62 6 9.28 2.18 1.0 40
7 5 10.34 4.62 6 9.28 2.18 1.0 40
8 6 9.28 2.18 7 4.55 2.76 2.0 40
9 7 4.55 2.76 8 3.44 4.93 4.0 80
10 8 3.44 4.93 9 2.17 9.06 15.0 50
11 9 2.17 9.06 3 9.28 9.06 30.0 60
12 5 10.34 4.62 10 14.87 4.61 25.0 30
13 10 14.87 4.61 5 10.34 4.62 25.0 30
14 14 17.72 9.58 10 14.87 4.61 15.0 40
15 10 14.87 4.61 11 17.41 2.07 10.0 40
16 11 17.41 2.07 14 17.72 8.58 20.0 60
17 11 17.41 2.07 12 14.95 4.93 3.0 40
18 12 14.95 4.93 14 17.72 8.58 4.0 40
19 14 17.72 8.58 13 19.53 7.65 2.0 60
20 13 19.53 7.65 12 14.95 4.93 4.0 80
